创造主体 (Person),压力 / 需求 (Press),赛博法器 / 神祇 (Product),对齐目标 ( Cultural/Ritual Target),数字实践 / 行为 (Digital Practice),传播平台 (Platform),G: 数字转化机制 (Digital Transformation),情绪功能 (Affective Function),梗功能 (Meme Function),仪式 / 视觉符号 (Ritual or Visual Symbol),证据链接 (Source URL),来源类型 (Source Type),,,,,,,
Programmer,"Bugs, debugging, code crashes, project launch pressure","Cyber Manjushri, Debugging Bodhisattva",Manjushri (Bodhisattva of Wisdom) / Guardian of Stability,"Worshipping the server, pasting digital talismans in code comments, sharing debug memes","GitHub, Tech Forums, WeChat Groups",Algorithmic blessing; Server stability is mythologized into a spiritual state,"Anxiety relief, seeking control over unpredictable technical errors","Tech community bonding, self-deprecating humor (""code works by magic"")","Code comments formatted as Buddha ASCII art, Server Talisman (符)",https://www.xiaohongshu.com/explore/676e791b000000000b022d4f?xsec_token=AB7tm5dnrjNbPdz2XnvaMu84hepp0kEHKKq6CVn32a-yI=&xsec_source=pc_search&source=web_explore_feed,Tech Community Meme / UGC,,,,,,,
company 高管,"Wealth anxiety, market volatility, company survival, KPI pressure","Cyber Caishen (God of Wealth), Stock Market Caishen",Caishen (God of Wealth) / Guan Yu,"Forwarding wealth-attracting memes, offering digital incense","WeChat Moments,, Business Forums",Financial success and market luck are digitized into shareable merit tokens,"Hope generation, alleviating financial stress and market unpredictability","Displaying ambition, networking through shared business internet culture","Golden coins emojis, Cyber Caishen wallpapers, Digital golden toads",https://www.ctee.com.tw/news/20220812700299-430903,Social Media Post / UGC,,,,,,,
student,"Pre-exam anxiety, praying to pass, praying for high scores","Wenchang Dijun Meme, Exam Blessing Guanyin","Wenchang Dijun, Guanyin (Bodhisattva of Compassion)","Typing ""receive"" (接) in comment sections to claim luck, digital fortune drawing","Weibo, Bilibili, Xiaohongshu",Fast-food style blessings; Algorithmic delivery of luck via feed recommendations,"Confidence boosting, utilizing superstition as a cognitive stress buffer","Viral spreading of luck, engaging in a ""chain letter"" style digital ritual","The character ""Pass"" (过), Koi fish (锦鲤), Digital temple lot (签)",https://www.xiaohongshu.com/explore/690d977d0000000007036331?xsec_token=AB14wIvvpJa_ncbgDN4_uBdFLILNmBmKt9L6Pia-6Cd7Y=&xsec_source=pc_search&source=web_search_result_notes,Viral Social Media Post,,,,,,,
Jobseeker,"Interview anxiety, offer anxiety, unemployment pressure","Cyber Caishen, Offer Bodhisattva",Beidi Bodhisattvas / Gods of Fortun,"Forwarding ""Offer Bodhisattva"" images, manifesting jobs in comment sections","LinkedIn, Maimai, Xiaohongshu",Career success digitized into viral meme tokens of hope,"Combating rejection depression, maintaining hope during job hunting","Shared struggle identity, cynical yet hopeful internet subculture","Offer text overlaid on Buddhist halos, Lotus seats made of resumes",https://www.xiaohongshu.com/explore/691d3f0f000000001b0313c8?xsec_token=ABGe1CCERX6yL6bSWN9PO4iesOAGf_iFIhb7MseFwUorI=&xsec_source=pc_search&source=web_search_result_notes,Career Networking Platform UGC,,,,,,,
Researcher,"Thesis anxiety, citation anxiety, deadline (ddl) pressure","Thesis Bodhisattva, Manjushri for Writing",Manjushri (Bodhisattva of Intellect and Wisdom),"Worshipping ""Paper accepting"" deities, praying for peer-review success","Twitter (X), Academic Forums, WeChat",The blind peer-review process is mythologized into a divine/karmic judgment,"Alleviating imposter syndrome, coping with harsh academic reviews/rejections","Academic venting, dark academia humor","A Buddha holding a Nature/Science journal, ""Revise and Resubmit"" talismans",https://www.xiaohongshu.com/explore/68cebda9000000000b03c5d4?xsec_token=ABtLPhvfv2qCVJoHABkkdtuF7927F5iEKo9mcesGLM4rQ=&xsec_source=pc_search&source=web_search_result_notes,Academic Community Meme,,,,,,,
健康焦虑者,求平安、求健康,"Medicine Buddha Meme, HealthBlessing Meme",Medicine Buddha；传统祛病符咒,社交媒体“还愿”与转发;数字占卜与健康打卡,Rednote; Apps；Tiktok; Weibo; facebook,Symbolic Substitution;量化机制,补偿性心理安抚; ,解构沉重感;集体认同感,蓝靛色;佛祖手持输液管,https://www.xiaohongshu.com/explore/6978af94000000002202db23?app_platform=ios&app_version=9.28&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBG3kfAcsCuJEsmY5M2IoM9U3122iaFtz5rErIhwiUjs4=&author_share=1&xhsshare=WeixinSession&shareRedId=Nz05RjxGSE87N0g2SzwxNzszOT03NjY8&apptime=1777566942&share_id=f2b814a98e174f1591e6dbc5987a781e&wechatWid=368d2a040b7d779a11d67f050cdc7866&wechatOrigin=menu,,,,,,,,
偶然参与者,玩梗、内疚、自嘲、赛博功德,"Gatling Bodhisattva, Cyber Merit",投币许愿池；庙会随机祈福,“路过式”互动；从众性参与；低频打卡,Rednote; Apps；Tiktok; Weibo; facebook,Attention Reengineering；Social Semantics；浅层符号链接,Social Currency; Lightweight Amusement; Curiosity Satisfaction,文化解码器,Stickers; 佛像加上潮流文字,,,,,,,,,
meme创作者,二创、转发、集体玩梗,"Buddha Reaction Meme, CyberMerit Meme",忿怒尊造像 (Wrathful Deities) / 护法神 / 变文/变相图,Collaborative Tagging；规则重构,Rednote; Apps；Tiktok; Weibo; facebook,Reverse Engineering； Reengineering Pattern,Subversive Joy；In-group Identity；荒诞感的共鸣,Intertextuality；知识压缩与传播；解构,Collage Aesthetic；自嘲式符号,https://www.xiaohongshu.com/discovery/item/69738cf6000000000c036542?app_platform=ios&app_version=9.28&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBH0PfjlW8eG51qgge27uyTotdKMY8b9QxmwzX-arZrm8=&author_share=1&xhsshare=WeixinSession&shareRedId=Nz05RjxGSE87N0g2SzwxNzszOT03NjY8&apptime=1777571751&share_id=4fd3f9ba386f494788e5906bca50ee2e,,,,,,,,
泛灵性用户,情绪安慰、仪式感、自我:疗愈,"Online Incense, Digital Prayer",家庭神龛 (Home Altar) / 禅修 (Dhyana) / 居士供香,数字供奉与祈祷；寻求“兆头（Omens）”,Rednote; Apps；Tiktok; Weibo; facebook,Spiritual Reengineering；Sensory Mapping；中介化信仰,深度心理补偿；孤独感的数字消解,Cyber Zen；解构,辉光与粒子效果；自然与赛博的融合；神圣几何与分形,https://www.tiktok.com/@panda_chakra/video/7312128670817160480?q=buddha&t=1777568315443,,,,,,,,
模板/挑战参与者,参与挑战、转发模板、社交表达,"RedNote Blessing Template, TikTokRitual Meme",印制灵符 (Fu) / 标准化法事 / 功德簿登记,标准化互动；基于模板的生成,Rednote; Apps；Tiktok; Weibo; facebook,Schema 实例化；自动化语义对齐,群体共鸣；即时满足；社交货币,梗的标准化；降低认知负荷,高频 UI 元素；数字仪表盘,,,,,,,,,
