CyberRitualCase,Platform,Subject,PerformativeAction,PostingAction,CommentingAction,SecularPressure,MundanePressure,ExistentialPressure,RemediatedSignifier,ImageSignifier,VideoSignifier,RitualSymbol,Mantra,Emoji,VisualOrAuditoryMarker,Archetype,TraditionalArchetype,ModernArchetype,Animal,SecularCommodity,RemediationStrategy,DigitalTransposition,SacredAmplification,SacredHybridization,SecularIdolDeification,SymbolicEnchantment,AffectiveOutcome
Case_CatWish,Xiaohongshu,ExamWishPoster,Posting_ExamWish,Posting_ExamWish,,ExamPressure,ExamPressure,,ExamCatImg,ExamCatImg,,KnittedKasaya; LotusCushion,,,KnittedKasaya; LotusCushion,Cat; Mahayana,Mahayana,,Cat,,CatBuddha,,,CatBuddha,,,MemeTherapy
Case_DigitalEnlightenment,Tiktok,DigitalEnlightenmentPoster,Posting_BuddhaTeaching,Posting_BuddhaTeaching,,ExistentialPressure_ModernAnxiety,,ExistentialPressure_ModernAnxiety,PsychedelicBuddhaVideo,,PsychedelicBuddhaVideo,LotusCushion; PsychedelicAura,,,LotusCushion; PsychedelicAura,Mahayana,Mahayana,,,,PsychedelicAestheticRemediation,,PsychedelicAestheticRemediation,,,,InnerPeace
Case_HealthWish,Xiaohongshu,HealthWishPoster,Posting_HealthWish,Posting_HealthWish,,HealthProblem,,HealthProblem,BlueBuddhaImg,BlueBuddhaImg,,,,,,MedicineBuddha,MedicineBuddha,,,,RestoreOriginal,RestoreOriginal,,,,,HealthRecovery
Case_InstagramTraditionalPrayer,Instagram,TraditionalPrayerPoster,Posting_NewYearPrayer,Posting_NewYearPrayer,,MundanePressure_FutureUncertainty,MundanePressure_FutureUncertainty,,TraditionalBuddhaPostImage,TraditionalBuddhaPostImage,,,,,,MedicineBuddha,MedicineBuddha,,,,RestoreOriginal,RestoreOriginal,,,,,NewYearVibes
Case_InstagramWealth,Instagram,MaterialisticUser; WealthClaimCommenter,Commenting_ClaimWealth; Posting_WealthManifesting,Posting_WealthManifesting,Commenting_ClaimWealth,MundanePressure_StatusAnxiety,MundanePressure_StatusAnxiety,,SportsCarManifestingVideo,,SportsCarManifestingVideo,Emoji_PrayingHands; LoFiBeatAndSlowMo; Mantra_ClaimEnergy,Mantra_ClaimEnergy,Emoji_PrayingHands,LoFiBeatAndSlowMo,LuxurySportsCar,,,,LuxurySportsCar,Remediation_LuxuryCar,,,,,Remediation_LuxuryCar,FinancialFreedom
Case_ManifestingKardashian,Xiaohongshu,KardashianManifestingPoster,Posting_ManifestingSpell,Posting_ManifestingSpell,,CareerWealth,CareerWealth,,KrisJennerMemeImg,KrisJennerMemeImg,,ManifestingMantraText,ManifestingMantraText,,,KrisJennerPopIcon,,KrisJennerPopIcon,,,PopIdolGod,,,,PopIdolGod,,WealthDelusion
Case_SubliminalRomance,Bilibili,RomanceSeekingUser,Posting_SubliminalVideo,Posting_SubliminalVideo,,MundanePressure_RomanticAnxiety,MundanePressure_RomanticAnxiety,,SubliminalButterflyVideo,,SubliminalButterflyVideo,GlitterAesthetic; SubliminalAudioFrequency,,,GlitterAesthetic; SubliminalAudioFrequency,Butterfly,,,Butterfly,,ButterflyGod,,,ButterflyGod,,,RomanticAttraction
Case_XWealthManifesting,XPlatform,ManifestPoster,Posting_Manifest2026,Posting_Manifest2026,,MundanePressure_WealthDesire,MundanePressure_WealthDesire,,CashManifestingVideo,,CashManifestingVideo,Emoji_RedHeart,,Emoji_RedHeart,,StackOfCash,,,,StackOfCash,Remediation_CashFetishization,,,,,Remediation_CashFetishization,Prosperity
Case_XiaohongshuCET6Comment,Xiaohongshu,CET6Commenter,Commenting_CET6Manifestation,,Commenting_CET6Manifestation,ExamPressure,ExamPressure,,KrisJennerReplyImage,KrisJennerReplyImage,,Mantra_CET6Success,Mantra_CET6Success,,,KrisJennerPopIcon,,KrisJennerPopIcon,,,PopIdolGod,,,,PopIdolGod,,AcademicSuccess
Case_UKWealthGodAltar,Xiaohongshu,UKWealthGodPoster,Posting_WealthGodAltar,Posting_WealthGodAltar,,MundanePressure_FinancialProsperity,MundanePressure_FinancialProsperity,,WealthGodAltarImg,WealthGodAltarImg,,DigitalAltarDisplay,,,DigitalAltarDisplay,GodOfWealth,GodOfWealth,,,,DigitalTransposition_WealthGodAltar,DigitalTransposition_WealthGodAltar,,,,,ProsperityHope
Case_GlobalTycoonMantra,Instagram,ProsperityManifestPoster,Posting_GlobalTycoonMantra,Posting_GlobalTycoonMantra,,MundanePressure_WealthStatusDesire,MundanePressure_WealthStatusDesire,,GlobalTycoonChequeImg,GlobalTycoonChequeImg,,Mantra_GlobalTycoon; CashStacks; LuxuryGoldAesthetic,Mantra_GlobalTycoon,,LuxuryGoldAesthetic; CashStacks;,WealthAssets,,,,WealthAssets,SymbolicEnchantment_WealthAssets,,,,,SymbolicEnchantment_WealthAssets,ProsperityExpectation
Case_TikTokLoveManifestation,Tiktok,LoveManifestPoster,Posting_LoveManifestVideo,Posting_LoveManifestVideo,,MundanePressure_RomanticDesire,MundanePressure_RomanticDesire,,LoveManifestationVideo,,LoveManifestationVideo,Emoji_WhiteHeart; SunsetAesthetic; RomanticMusic,,Emoji_WhiteHeart,SunsetAesthetic; RomanticMusic,RomanticCoupleIdeal,,RomanticCoupleIdeal,,,SymbolicEnchantment_LoveIdeal,,,,,SymbolicEnchantment_LoveIdeal,RomanticFulfillment
Case_CelebrityMemeReassurance,Tiktok,ReassuranceManifestPoster,Posting_ReassuranceMemeVideo,Posting_ReassuranceMemeVideo,,MundanePressure_GeneralUncertainty,MundanePressure_GeneralUncertainty,,SupportiveCelebrityMemeVideo,,SupportiveCelebrityMemeVideo,Mantra_EverythingWillBeAlright; Mantra_DoingAmazingSweetie; RainbowAura,Mantra_EverythingWillBeAlright; Mantra_DoingAmazingSweetie,,RainbowAura,SupportiveCelebrityMomagerMeme,,SupportiveCelebrityMomagerMeme,,,SecularIdolDeification_CelebrityMeme,,,,SecularIdolDeification_CelebrityMeme,,EmotionalReassurance
